STRING	FLOAT	STRING
Name	Value	Desc
IVER_bOpenPlayerCallBack	1	老玩家回归开关
IVER_bOpenBaiBaoXiang	0	百宝箱开关
IVER_nWellFareCoinExChange	1.5	福利银两对话比例
IVER_bOpenNewPlayerGift	1	新手礼包
IVER_bOpenFuFaiVip	1	福袋Vip额外次数开关
IVER_nKinRetireLimit	5	家族荣誉成员最大人数
IVER_nXoyoGameCount	6	逍遥谷每天参加次数
IVER_nXoyoGameTaskAwardType	1	逍遥谷卡片收集奖励类型
IVER_nBaiHuTangCount	6	白虎堂每天参见次数
IVER_bOpenChongZhiHuoDong	1	冲值活动
IVER_bOpenOnLineExp	1	在线托管
IVER_nFourfoldMapLevel	50	秘境四倍地图进入最低等级
IVER_nFourfoldMapMaxTime	10	秘境地图最大累积时间
IVER_nFourfoldMapPreTime	2	秘境地图每天累积时间
IVER_nXiulindanMaxUse	9999	修炼丹最大使用次数
IVER_bGuessGame	1	灯谜活动每周全开开关，1为全开(中午12:30);0为1，3，4开放(晚上8:30)
IVER_nXoyoGameDateType	1	逍遥谷开放时间类型（帮助锦囊使用）
IVER_nPartOpen	1	同伴开放开关
IVER_bOpenPartner	1	同伴活动开关
IVER_bOpenYoulongmibao	1	游龙密保开关
IVER_bOpenRecommendServer	1	推荐入驻奖励开关
IVER_bOpenChangeBack	1	兑换贝壳的开关
IVER_bOpenIpHandle	1	开启显示ip告警的开关
IVER_bOpenZaiXian	1	在线领奖-总开关
IVER_bOpenMarry	1	开启结婚开关
IVER_bUseFactionMax	4	最多修多少个门派
IVER_bOpenZaiXian1	0	在线领奖-每日登陆
IVER_bOpenZaiXian2	0	在线领奖-登陆积累
IVER_bOpenZaiXian3	0	在线领奖-在线积累
IVER_bOpenZaiXian4	0	在线领奖-升级奖励
IVER_bOpenAwardOnLine	0	开启在线累积奖励
IVER_bOpenOrgNewPlayerAward	0	开启旧的新手奖励机制
IVER_bOpenBaiLimit	1	开启初级白虎家族限制
IVER_bOpenBaiMerchantLimit	1	开启白虎商会牌子限制
IVER_nSecFactionDay	4	本周第二场门派竞技时间
IVER_bOpenMutiOpenSys	20100901	新服限制客户端多开开关
IVER_bOpenAccountLockNotEvent	0	账号锁定状态下不能购买白驹或者进行其他事件的开关
IVER_bOpenChongzhiPaiZi	1	开启活动推广员出购买充值牌子的选项
IVER_nGuessGameNum	12	猜灯谜活动触发次数（目前没做差异，记得合回大陆版要改回12次）
IVER_szGuessGameEndTime	13:30	猜灯谜活动结束时间
IVER_nGuessGameEndTime	1330	猜灯谜活动结束时间数值
IVER_nDomainBattleDay	5	领土战开启时间数值表示
IVER_szDomainBattleDay	五	领土战开启时间字符串表示
IVER_nOpenLockWnd	0	是否开启当需要解锁时弹出解锁界面
IVER_nPrayAwardNum	10	祈福奖励表最大奖励数
IVER_szTeacherTitle	的师傅	师徒称号的师傅
IVER_szTudiTitle	的徒弟	师徒称号的徒弟
IVER_nAchievementOpen	1	成就开关
IVER_szNewLandMinLevelName	混天	跨服城战最小披风等级名字
IVER_nNewLandMinLevel	6	跨服城战最小披风等级
IVER_nNewLandMinTongMember	30	跨服城战最小披风等级
IVER_nMinPrestigeRank	5000	每日江湖威望排行榜获取指定威望的最低排名
IVER_bOpenBaiHuliftLimit	0	"是否开启白虎1,2层3条命"
IVER_bOpenTaskPlatform	1	任务平台开关
IVER_bOpenWantedLimit	0	大盗非120级限制
IVER_bOpenGiveDaTaoShaExAward	1	大逃杀冠军有几率获得额外奖励开关
IVER_bOpenWantedLimitTime	1	大盗时间限制开关
IVER_bOpenFightPowerNoLevelLimit	1	开启战斗力无等级限制开关
IVER_bOpenBossPkState	0	秦陵1-3层pk状态不强制改变开关
IVER_bOpenDivorce	1	离婚开关
IVER_bOpenKinBattle	1	家族擂台开关
IVER_bOpenFactionBattleNew	1	门派竞技新模式
IVER_bOpenkinMoney	1	家族工资开关
IVER_bOpenSnsSystem	1	社交网络开关0
IVER_bUseChangeFactionItem	0	三修需要道具开关
IVER_bOpenPartnerExpLimit	0	5技能以上同伴杀死精英首领限制加经验
IVER_nXoyoGameTaskAwardMaxRank	3000	逍遥谷奖励最低排名
IVER_nPlayerFuli_Chuansong	50	特权福利传送符
IVER_nPlayerFuli_Qiankunfu	50	特权福利乾坤符
IVER_nPlayerFuli_Hexuan	100	特权福利合玄
IVER_nPlayerFuli_Cangku	100	特权福利仓库
IVER_nPlayerFuli_Paimai	50	特权福利拍卖行
IVER_nPlayerFuli_Task	50	特权福利任务平台
IVER_nPlayerFuli_Cai	15	特权福利领菜
IVER_nPlayerFuli_Lottery	10000	特权福利任务平台
IVER_bOpenTiFu	1	体服开关
IVER_nPlayerFuli_KinWage	50	特权家族工资获得几率
