STRING	STRING	STRING
Name	Value	Desc
IVER_nResetGive	1	
IVER_nEvent_GirlVote	1	美女选举
IVER_nEvent_TuiGuangYuan	1	推广员系统
IVER_szEvent_DragonBoatSDate	2009年5月26日	龙舟开始时间描述
IVER_szEvent_DragonBoatEDate	2009年6月26日	龙舟结束时间描述
IVER_nXoyo_GetAward_Fix	1	逍遥录大陆bug修复使用
IVER_szHelpInfo1	，也可以使用银两在金币交易所从其他玩家处购买	帮助说明差异
IVER_nHelpSpriteIsView	0	帮助锦囊某些项是否不显示
IVER_nLinkTaskAward	2	老包义军任务奖励倍数
IVER_nTask_OpenJbExchangeDayEvent	1	是否开启金币交易所每天处理的事物
IVER_nHelpIsView_GbWlls	0	帮助锦囊某些项是否不显示
IVER_nCloseExchangeNoemal	1	是否关闭兑换银票功能
IVER_nHelpIsView_Marry	0	结婚帮助锦囊某些项是否不显示
IVER_nHelpIsView_XLand	0	城战帮助锦囊某些项是否不显示
IVER_nLaoBaoOnly10Times	0	老包只能连续做十次的开关
IVER_szTaskExpCoinName	金币	经验发布任务货币名
IVER_nHelpSpriteIsView_SNS	0	帮助锦囊某些项是否不显示
